,Method,Description
0,unique(x),"Compute the sorted, unique elements in x"
1,"intersect1d(x, y)","Compute the sorted, common elements in x and y"
2,"union1d(x, y)",Compute the sorted union of elements
3,"in1d(x, y)",Compute a boolean array indicating whether each element of x is contained in y
4,"setdiff1d(x, y)","Set difference, elements in x that are not in y"
5,"setxor1d(x, y)","Set symmetric differences; elements that are in either of the arrays, but not both"
